33,33,262,307,1.1718,5.5683,5.7268,0.1585,1
34,34,259,306,1.1815,5.5568,5.7236,0.1668,1
35,35,257,306,1.1907,5.5491,5.7236,0.1745,1
36,36,262,306,1.1679,5.5683,5.7236,0.1553,1
37,37,264,306,1.1591,5.5759,5.7236,0.1477,1
38,38,268,313,1.1679,5.591,5.7462,0.1552,1
39,39,276,319,1.1558,5.6204,5.7652,0.1448,1
40,40,283,324,1.1449,5.6454,5.7807,0.1353,1
41,41,290,332,1.1448,5.6699,5.8051,0.1352,1
42,42,286,320,1.1189,5.656,5.7683,0.1123,1
43,43,288,320,1.1111,5.663,5.7683,0.1053,1
44,44,286,314,1.0979,5.656,5.7494,0.0934,1
45,45,279,306,1.0968,5.6312,5.7236,0.0924,1
46,46,279,307,1.1004,5.6312,5.7268,0.0956,1
47,47,280,308,1.1,5.6348,5.7301,0.0953,1
48,48,321,358,1.1153,5.7714,5.8805,0.1091,1
49,49,328,358,1.0915,5.793,5.8805,0.0875,1
50,50,334,360,1.0778,5.8111,5.8861,0.075,1
2,54,332,360,1.0843,5.8051,5.8861,0.081,2
3,55,332,362,1.0904,5.8051,5.8916,0.0865,2
4,56,326,361,1.1074,5.7869,5.8889,0.102,2
5,57,322,359,1.1149,5.7746,5.8833,0.1087,2
6,58,324,359,1.108,5.7807,5.8833,0.1026,2
7,59,322,359,1.1149,5.7746,5.8833,0.1087,2
8,60,316,357,1.1297,5.7557,5.8777,0.122,2
9,61,314,357,1.1369,5.7494,5.8777,0.1283,2
10,62,316,357,1.1297,5.7557,5.8777,0.122,2
11,63,316,357,1.1297,5.7557,5.8777,0.122,2
12,64,315,357,1.1333,5.7526,5.8777,0.1251,2
13,65,314,356,1.1338,5.7494,5.8749,0.1255,2
16,68,313,354,1.131,5.7462,5.8693,0.1231,2
17,69,312,354,1.1346,5.743,5.8693,0.1263,2
18,70,307,354,1.1531,5.7268,5.8693,0.1425,2
19,71,305,354,1.1607,5.7203,5.8693,0.149,2
20,72,305,354,1.1607,5.7203,5.8693,0.149,2
21,73,299,354,1.1839,5.7004,5.8693,0.1689,2
22,74,297,354,1.1919,5.6937,5.8693,0.1756,2
23,75,300,354,1.18,5.7038,5.8693,0.1655,2
24,76,300,354,1.18,5.7038,5.8693,0.1655,2
25,77,302,354,1.1722,5.7104,5.8693,0.1589,2
26,78,300,354,1.18,5.7038,5.8693,0.1655,2
33,85,293,349,1.1911,5.6802,5.8551,0.1749,2
34,86,293,349,1.1911,5.6802,5.8551,0.1749,2
35,87,293,347,1.1843,5.6802,5.8493,0.1691,2
36,88,296,347,1.1723,5.6904,5.8493,0.1589,2
37,89,295,347,1.1763,5.687,5.8493,0.1623,2
38,90,297,347,1.1684,5.6937,5.8493,0.1556,2
39,91,298,347,1.1644,5.6971,5.8493,0.1522,2
40,92,299,346,1.1572,5.7004,5.8464,0.146,2
41,93,301,347,1.1528,5.7071,5.8493,0.1422,2
42,94,305,348,1.141,5.7203,5.8522,0.1319,2
43,95,307,348,1.1336,5.7268,5.8522,0.1254,2
44,96,306,346,1.1307,5.7236,5.8464,0.1228,2
45,97,303,345,1.1386,5.7137,5.8435,0.1298,2
46,98,304,345,1.1349,5.717,5.8435,0.1265,2
47,99,303,345,1.1386,5.7137,5.8435,0.1298,2
48,100,300,345,1.15,5.7038,5.8435,0.1397,2
49,101,299,345,1.1538,5.7004,5.8435,0.1431,2
50,102,297,345,1.1616,5.6937,5.8435,0.1498,2
2,106,297,345,1.1616,5.6937,5.8435,0.1498,3
3,107,297,345,1.1616,5.6937,5.8435,0.1498,3
4,108,298,345,1.1577,5.6971,5.8435,0.1464,3
5,109,299,345,1.1538,5.7004,5.8435,0.1431,3
6,110,303,347,1.1452,5.7137,5.8493,0.1356,3
